Constituency Code,Constituency,選區,Candidate Number,Name of Candidate,候選人姓名,No. of Votes Received,Result
M11,PING SHAN SOUTH,屏山南,,CHEUNG MUK LAM,張木林,0,2
M12,PING SHAN CENTRAL,屏山中,,TANG HING IP,鄧慶業,0,2
M13,PING SHAN NORTH,屏山北,1,TANG TAT SIN,鄧達善,938,0
M13,PING SHAN NORTH,屏山北,2,YOUNG KA ON,楊家安,1344,1
M14,HA TSUEN,廈村,1,CHENG KAM HO,鄭錦豪,376,0
M14,HA TSUEN,廈村,2,TANG KA LEUNG,鄧家良,2610,1
M15,TIN SHING,天盛,1,CHAN SZE CHING,陳思靜,3702,1
M15,TIN SHING,天盛,2,LEUNG YIP PANG,梁業鵬,1807,0
M16,SHUI OI,瑞愛,1,CHAU TSZ KI,周子麒,1434,0
M16,SHUI OI,瑞愛,2,KWOK KEUNG,郭強,3136,1
M17,SHUI WAH,瑞華,1,KO CHUN KIT,高俊傑,1634,0
M17,SHUI WAH,瑞華,2,CHOW WING KAN,周永勤,1941,1
M18,CHUNG WAH,頌華,1,WONG WAI LING,黃煒鈴,1775,1
M18,CHUNG WAH,頌華,2,CHAN KA KUI,陳家駒,965,0
M19,YUET YAN,悅恩,,CHIU SAU HAN,趙秀嫻,0,2
M20,FU YAN,富恩,1,KEUNG KWOK WAI,強國偉,1339,0
M20,FU YAN,富恩,2,LAU KWAI YUNG,劉桂容,2819,1
M21,YAT CHAK,逸澤,1,KWOK HING PING,郭慶平,2288,1
M21,YAT CHAK,逸澤,2,WONG YUEN FAI,黃遠輝,496,0
M21,YAT CHAK,逸澤,3,WONG YU CHOI,黃裕材,1468,0
M22,TIN HENG,天恒,1,WONG PAK YU,王百羽,1317,0
M22,TIN HENG,天恒,2,CHEUNG KWOK TUNG,張國棟,846,0
M22,TIN HENG,天恒,3,LUK CHUNG HUNG,陸頌雄,2749,1
M23,WANG YAT,宏逸,,YIU KWOK WAI,姚國威,0,2
M24,CHING KING,晴景,1,TANG CHEUK HIM,鄧焯謙,2423,1
M24,CHING KING,晴景,2,SO WING CHAU,蘇永宙,632,0
M25,KINGSWOOD NORTH,嘉湖北,1,LEE YUET MAN,李月民,2775,1
M25,KINGSWOOD NORTH,嘉湖北,2,HO WAI FONG POLLY,何惠芳,1747,0
M26,TSZ YAU,慈祐,1,CHAN MEI LIN,陳美蓮,2438,1
M26,TSZ YAU,慈祐,2,CHING YUNG FAI,程容輝,1345,0
M27,YIU YAU,耀祐,1,MA SHUK YIN,馬淑燕,1584,1
M27,YIU YAU,耀祐,2,WONG PUI YIN AGATHA,王佩賢,1255,0
M28,TIN YIU,天耀,1,LEUNG CHE CHEUNG,梁志祥,1713,1
M28,TIN YIU,天耀,2,LEUNG CHIN HANG,梁榮生,1552,0
M29,KINGSWOOD SOUTH,嘉湖南,1,NG YUK YING,吳玉英,1724,0
M29,KINGSWOOD SOUTH,嘉湖南,2,CHAM KA HUNG DANIEL,湛家雄,2191,1
M30,CHUNG PAK,頌栢,1,WONG CHEUK KIN,黃卓健,2078,1
M30,CHUNG PAK,頌栢,2,MOK YIM HAY,莫炎熙,1380,0
M31,FAIRVIEW PARK,錦綉花園,1,TO KA LUN,杜嘉倫,1826,1
M31,FAIRVIEW PARK,錦綉花園,2,LEUNG WAI KWAN,梁煒堃,144,0
M31,FAIRVIEW PARK,錦綉花園,3,YAU TAI TAI,邱帶娣,1596,0
M32,SAN TIN,新田,1,MAN KWONG MING,文光明,2286,1
